o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
0,0,4,13,3,1983,0,0.3076923076923077,0,0,0,1,0,0,0,0,0,0,0
0,0,3,7,0,1983,0,0.42857142857142855,0,0,0,1,0,0,0,0,0,0,0
0,0,3,6,1,1983,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0,0,5,11,3,1983,0,0.45454545454545453,0,0,0,0,0,1,0,0,0,0,0
0,0,2,7,2,1983,0,0.2857142857142857,0,0,0,1,0,0,0,0,0,0,0
0,0,3,15,3,1983,0,0.2,0,0,0,1,0,0,0,0,0,0,0
0,0,0,15,3,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,12,0,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,4,2,1983,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,4,6,0,1983,0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0
0,0,5,17,0,1983,1,0.29411764705882354,0,0,0,0,0,0,0,0,0,0,0
0,1,4,13,0,1983,1,0.3076923076923077,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,0,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,17,0,1983,1,0.23529411764705882,0,0,0,1,0,0,0,0,0,0,0
0,0,1,9,5,1983,1,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,3,1983,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,10,0,1983,0,0.2,0,0,0,0,1,0,0,0,0,0,0
0,0,0,6,0,1983,0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,6,3,1983,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,9,0,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,10,2,1983,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,9,1,1983,0,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,0
0,1,0,3,0,1983,1,0.0,0,0,1,0,0,0,0,0,0,0,0
0,0,3,4,0,1983,0,0.75,0,0,1,1,0,0,0,0,0,0,0
0,0,0,4,2,1983,1,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,6,6,0,1983,1,1.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,4,0,1983,1,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,8,2,1983,1,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,11,4,1983,1,0.0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,4,4,1985,0,0.0,1,0,0,0,0,0,0,0,0,1,0
0,1,0,11,4,1985,1,0.0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,7,3,1985,0,0.0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,7,2,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,1,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,5,4,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,12,4,1985,1,0.25,1,0,0,1,0,0,0,0,0,0,0
0,0,0,7,3,1985,1,0.0,1,0,0,0,0,0,0,0,0,0,0
0,0,4,1,4,1985,0,4.0,1,0,0,1,0,0,0,0,0,0,0
0,0,6,8,4,1985,0,0.75,1,0,0,1,0,0,0,0,0,0,0
1,0,3,6,3,1985,0,0.5,1,0,0,1,0,0,0,0,0,0,0
0,0,3,5,2,1985,1,0.6,1,0,0,1,0,0,0,0,0,0,0
0,0,2,2,2,1985,1,1.0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,12,6,1985,0,0.0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,3,6,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,9,4,1985,0,0.1111111111111111,1,0,0,1,0,0,0,0,0,0,0
0,0,3,22,6,1985,1,0.13636363636363635,1,0,0,1,0,0,0,0,0,0,0
0,0,2,7,1,1985,0,0.2857142857142857,1,0,0,1,0,0,0,0,0,0,0
0,0,0,7,0,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,7,0,1985,1,0.0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
1,0,7,15,4,1985,1,0.4666666666666667,1,0,0,1,0,0,0,0,0,0,0
0,0,3,10,3,1985,1,0.3,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1985,0,0.0,1,0,0,1,0,0,0,0,0,0,0
1,0,3,9,3,1985,1,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0
1,1,0,11,5,1985,1,0.0,1,0,0,0,0,1,0,0,0,0,0
0,0,3,8,3,1985,1,0.375,1,0,0,1,0,0,0,0,0,0,0
0,0,0,5,1,1985,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,7,3,1985,1,0.42857142857142855,1,0,0,0,0,0,0,0,0,0,1
0,0,3,3,3,1985,0,1.0,0,0,0,1,0,0,0,0,0,0,0
0,0,6,8,3,1985,1,0.75,0,0,0,1,0,0,0,0,0,0,0
0,0,2,5,1,1985,1,0.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,1985,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,6,2,1985,0,0.0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,4,2,1985,1,0.75,0,0,0,1,0,0,0,0,0,0,0
0,0,0,18,4,1985,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0,0,2,15,2,1985,1,0.13333333333333333,0,0,0,0,1,0,0,0,0,0,0
1,0,2,16,0,1985,0,0.125,0,0,0,1,0,0,0,0,0,0,0
0,0,0,7,1,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,13,3,1985,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,11,3,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,10,3,1985,0,0.2,0,0,0,1,0,0,0,0,0,0,0
0,0,3,7,2,1985,0,0.42857142857142855,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,2,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,6,5,3,1985,0,1.2,0,0,0,1,0,0,0,0,0,0,0
0,0,0,6,0,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,7,2,1985,0,0.5714285714285714,0,0,0,1,0,0,0,0,0,0,0
0,1,3,22,2,1985,1,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,1985,0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,1,10,15,2,1985,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1
0,0,0,31,2,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,5,10,3,1985,1,0.5,0,0,0,1,0,0,0,0,0,0,0
0,1,2,4,3,1985,1,0.5,0,0,0,0,0,1,0,0,0,0,0
0,0,3,5,4,1985,0,0.6,0,0,0,1,0,0,0,0,0,0,0
0,0,1,7,0,1985,0,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,0
0,0,8,9,3,1985,0,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,1
0,0,3,4,3,1985,0,0.75,0,0,0,1,0,0,0,0,0,0,0
0,0,2,9,3,1985,0,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0
0,0,3,9,3,1985,1,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0
0,0,2,6,1,1985,0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0
0,0,2,4,3,1985,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,0,12,1,1985,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,13,4,1985,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,6,4,1985,1,0.16666666666666666,0,0,0,0,0,0,0,0,0,1,0
0,0,1,4,2,1985,0,0.25,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,0,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,6,1,1985,0,0.0,0,0,0,0,0,0,1,0,0,0,0
